ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.752048,0.8417721,1.225676,1.546188,4.904032,2.084841,0.7186765,1.0
3.950941,1.846752,2.371092,2.684729,3.246593,1.36554,0.8617105,1.0
1.146997,0.5928745,0.9274673,1.149441,6.158621,2.876988,0.5571321,0.1551169
2.837164,1.827246,2.475576,2.790571,7.312107,2.379932,0.7115065,1.0
4.575157,1.817053,2.368147,2.691404,3.398788,1.664648,0.928706,0.9729841
1.121756,0.4037094,0.6320171,0.700531,4.14354,2.014072,0.83716,0.0
1.87179,0.6763268,1.591774,1.923538,19.32147,5.244997,0.869015,1.0
1.902964,0.8853216,1.294945,1.547125,20.75489,8.75841,0.7102066,1.0
1.901316,1.063095,1.470497,1.798203,3.025453,1.432194,0.7121181,1.0
1.663801,1.613323,2.236849,2.623665,3.661946,1.407053,0.809461,1.0
1.415327,1.628059,2.39045,2.742695,2.824232,1.217102,0.6154301,0.9918191
1.8389,1.085623,1.556526,1.917261,5.173575,2.264903,0.9839056,0.9380494
1.799639,0.8906708,1.313959,1.594635,3.677806,1.510375,0.8024184,1.0
1.060352,0.3131065,0.5157223,0.6046143,9.858363,4.369829,0.8844481,0.06470732
1.812723,0.8348293,1.286551,1.607989,7.020566,3.024467,0.3076853,0.7110022
